year,yearcode,countryname,countrycode,prop_urbanpopulation
2020,YR2020,Latin America & the Caribbean (IDA & IBRD countries),TLA,81.16044913
2020,YR2020,Latvia,LVA,68.315
2020,YR2020,Least developed countries: UN classification,LDC,34.72400294
2020,YR2020,Lebanon,LBN,88.925
2020,YR2020,Lesotho,LSO,29.028
2020,YR2020,Liberia,LBR,52.089
2020,YR2020,Libya,LBY,80.691
2020,YR2020,Liechtenstein,LIE,14.416
2020,YR2020,Lithuania,LTU,68.046
2020,YR2020,Low & middle income,LMY,51.14586238
2020,YR2020,Low income,LIC,33.94649777
2020,YR2020,Lower middle income,LMC,42.50561037
2020,YR2020,Luxembourg,LUX,91.453
2020,YR2020,"Macao SAR, China",MAC,100
2020,YR2020,Madagascar,MDG,38.534
2020,YR2020,Malawi,MWI,17.427
2020,YR2020,Malaysia,MYS,77.16
2020,YR2020,Maldives,MDV,40.669
2020,YR2020,Mali,MLI,43.909
2020,YR2020,Malta,MLT,94.744
2020,YR2020,Marshall Islands,MHL,77.794
2020,YR2020,Mauritania,MRT,55.327
2020,YR2020,Mauritius,MUS,40.76
2020,YR2020,Mexico,MEX,80.731
2020,YR2020,"Micronesia, Fed. Sts.",FSM,22.933
2020,YR2020,Middle East & North Africa,MEA,65.56004531
2020,YR2020,Middle East & North Africa (excluding high income),MNA,61.89232067
2020,YR2020,Middle East & North Africa (IDA & IBRD countries),TMN,61.71734443
2020,YR2020,Middle income,MIC,53.20129884
2020,YR2020,Moldova,MDA,42.849
2020,YR2020,Monaco,MCO,100
2020,YR2020,Mongolia,MNG,68.657
2020,YR2020,Montenegro,MNE,67.488
2020,YR2020,Morocco,MAR,63.532
2020,YR2020,Mozambique,MOZ,37.074
2020,YR2020,Myanmar,MMR,31.141
2020,YR2020,Namibia,NAM,52.033
2020,YR2020,Nauru,NRU,100
2020,YR2020,Nepal,NPL,20.576
2020,YR2020,Netherlands,NLD,92.236
2020,YR2020,New Caledonia,NCL,71.518
2020,YR2020,New Zealand,NZL,86.699
2020,YR2020,Nicaragua,NIC,59.012
2020,YR2020,Niger,NER,16.626
2020,YR2020,Nigeria,NGA,51.958
2020,YR2020,North America,NAC,82.55358574
2020,YR2020,North Macedonia,MKD,58.482
2020,YR2020,Northern Mariana Islands,MNP,91.798
2020,YR2020,Norway,NOR,82.974
2020,YR2020,Not classified,INX,
2020,YR2020,OECD members,OED,81.0250441
2020,YR2020,Oman,OMN,86.276
2020,YR2020,Other small states,OSS,62.89971859
2020,YR2020,Pacific island small states,PSS,39.09482359
2020,YR2020,Pakistan,PAK,37.165
2020,YR2020,Palau,PLW,80.988
2020,YR2020,Panama,PAN,68.414
2020,YR2020,Papua New Guinea,PNG,13.345
2020,YR2020,Paraguay,PRY,62.183
2020,YR2020,Peru,PER,78.297
2020,YR2020,Philippines,PHL,47.408
2020,YR2020,Poland,POL,60.043
2020,YR2020,Portugal,PRT,66.31
2020,YR2020,Post-demographic dividend,PST,81.66262286
2020,YR2020,Pre-demographic dividend,PRE,42.47917386
2020,YR2020,Puerto Rico,PRI,93.581
2020,YR2020,Qatar,QAT,99.235
2020,YR2020,Romania,ROU,54.194
2020,YR2020,Russian Federation,RUS,74.754
2020,YR2020,Rwanda,RWA,17.432
2020,YR2020,Samoa,WSM,17.889
2020,YR2020,San Marino,SMR,97.499
2020,YR2020,Sao Tome and Principe,STP,74.354
2020,YR2020,Saudi Arabia,SAU,84.287
2020,YR2020,Senegal,SEN,48.122
2020,YR2020,Serbia,SRB,56.446
2020,YR2020,Seychelles,SYC,57.546
2020,YR2020,Sierra Leone,SLE,42.923
2020,YR2020,Singapore,SGP,100
2020,YR2020,Sint Maarten (Dutch part),SXM,100
2020,YR2020,Slovak Republic,SVK,53.76
2020,YR2020,Slovenia,SVN,55.118
2020,YR2020,Small states,SST,59.47474634
2020,YR2020,Solomon Islands,SLB,24.67
2020,YR2020,Somalia,SOM,46.141
2020,YR2020,South Africa,ZAF,67.354
2020,YR2020,South Asia,SAS,34.89320579
2020,YR2020,South Asia (IDA & IBRD),TSA,34.89320579
2020,YR2020,South Sudan,SSD,20.199
2020,YR2020,Spain,ESP,80.81
2020,YR2020,Sri Lanka,LKA,18.713
2020,YR2020,St. Kitts and Nevis,KNA,30.843
2020,YR2020,St. Lucia,LCA,18.841
2020,YR2020,St. Martin (French part),MAF,
2020,YR2020,St. Vincent and the Grenadines,VCT,53.032
2020,YR2020,Sub-Saharan Africa,SSF,41.29441625
2020,YR2020,Sub-Saharan Africa (excluding high income),SSA,41.29302626
2020,YR2020,Sub-Saharan Africa (IDA & IBRD countries),TSS,41.29441625
2020,YR2020,Sudan,SDN,35.253
2020,YR2020,Suriname,SUR,66.149
2020,YR2020,Sweden,SWE,87.977
2020,YR2020,Switzerland,CHE,73.915
2020,YR2020,Syrian Arab Republic,SYR,55.475
2020,YR2020,Tajikistan,TJK,27.506
2020,YR2020,Tanzania,TZA,35.227
2020,YR2020,Thailand,THA,51.43
2020,YR2020,Timor-Leste,TLS,31.32
2020,YR2020,Togo,TGO,42.8
2020,YR2020,Tonga,TON,23.099
2020,YR2020,Trinidad and Tobago,TTO,53.214
2020,YR2020,Tunisia,TUN,69.568
2020,YR2020,Turkiye,TUR,76.105
2020,YR2020,Turkmenistan,TKM,52.516
2020,YR2020,Turks and Caicos Islands,TCA,93.605
2020,YR2020,Tuvalu,TUV,64.014
2020,YR2020,Uganda,UGA,24.954
2020,YR2020,Ukraine,UKR,69.608
2020,YR2020,United Arab Emirates,ARE,87.048
2020,YR2020,United Kingdom,GBR,83.903
2020,YR2020,United States,USA,82.664
2020,YR2020,Upper middle income,UMC,67.60144213
2020,YR2020,Uruguay,URY,95.515
2020,YR2020,Uzbekistan,UZB,50.416
2020,YR2020,Vanuatu,VUT,25.525
2020,YR2020,"Venezuela, RB",VEN,88.279
2020,YR2020,Vietnam,VNM,37.34
2020,YR2020,Virgin Islands (U.S.),VIR,95.939
2020,YR2020,West Bank and Gaza,PSE,76.719
2020,YR2020,World,WLD,56.06376406
2020,YR2020,"Yemen, Rep.",YEM,37.908
2020,YR2020,Zambia,ZMB,44.629
2020,YR2020,Zimbabwe,ZWE,32.242
