Congress,bill_number,bill_type,action,main_action,object,member_id
116,1590,s,Committee on Foreign Relations. Reported by Senator Risch without amendment. Without written report.,senate committee/subcommittee actions,senate bill,505
116,1608,s,"Committee on Health, Education, Labor, and Pensions. Reported by Senator Alexander with an amendment in the nature of a substitute. Without written report.",senate committee/subcommittee actions,senate bill,1561
116,1611,s,"Committee on Commerce, Science, and Transportation. Reported by Senator Wicker with amendments. With written report No. 116-179 .",senate committee/subcommittee actions,senate bill,1002
116,1636,s,S.Amdt.2707 Amendment SA 2707 proposed by Senator McConnell for Senator Alexander. (consideration: CR S7470 ; text: CR S7470 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,1681,s,S.Amdt.2716 Amendment SA 2716 proposed by Senator Braun for Senator Alexander. (consideration: CR S7643 ; text: CR S7643 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,839
116,1759,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. Without written report.,senate committee/subcommittee actions,senate bill,1701
116,1757,s,S.Amdt.1524 Amendment SA 1524 proposed by Senator McConnell for Senator Ernst. (consideration: CR S1611 ; text: CR S1609-1610 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,1833,s,By Senator Barrasso from Committee on Environment and Public Works filed written report. Report No. 116-64 .,senate committee report filed after reporting,senate bill,603
116,1833,s,Committee on Environment and Public Works. Reported by Senator Barrasso without amendment. Without written report.,senate committee/subcommittee actions,senate bill,603
116,1846,s,S.Amdt.1252 Amendment SA 1252 proposed by Senator Fischer for Senator Peters. (consideration: CR S6769-6770 ; text: CR S6769-6770 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,276
116,1846,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson with an amendment. With written report No. 116-90 .,senate committee/subcommittee actions,senate bill,1701
116,1,s,S.Amdt.98 Amendment SA 98 proposed by Senator Menendez for Senator Risch to Amendment SA 97 . (consideration: CR S830 ; text: CR S830 ) To provide for a classified annex to be submitted with the report on the cooperation of the United States and Israel with respect to countering unmanned aerial systems.,senate amendment proposed (on the floor),amendment,989
116,1,s,S.Amdt.97 Amendment SA 97 proposed by Senator Risch. (consideration: CR S830 ; text: CR S830 ) To clarify the deadline for the reporting requirement relating to the establishment of a Jordan Enterprise Fund.,senate amendment proposed (on the floor),amendment,505
116,1,s,S.Amdt.96 Amendment SA 96 proposed by Senator Menendez to Amendment SA 65 . (consideration: CR S789 ; text: CR S789 ) To clarify that the amendment shall not be construed as a declaration of war or an authorization of the use of military force.,senate amendment proposed (on the floor),amendment,989
116,1,s,S.Amdt.65 Amendment SA 65 proposed by Senator McConnell. (consideration: CR S732-733 ; text: CR S732-733 ) To express the sense of the Senate that the United States faces continuing threats from terrorist groups operating in Syria and Afghanistan and that the precipitous withdrawal of United States forces from either country could put at risk hard-won gains and United States national security.,senate amendment proposed (on the floor),amendment,858
116,1,s,Motion by Senator McConnell to reconsider the vote by which the third cloture on the motion to proceed to S. 1 was not invoked ( Record Vote No. 3 ) rendered moot in Senate.,senate floor actions,senate bill,858
116,1,s,Motion by Senator McConnell to reconsider the vote by which cloture on the motion to proceed to S. 1 was not invoked ( Record Vote No. 1 ) agreed to in Senate by Unanimous Consent.,senate floor actions,senate bill,858
116,1,s,Motion by Senator McConnell to reconsider the vote by which the third cloture on the motion to proceed to S. 1 was not invoked ( Record Vote No. 3 ) entered in Senate.,senate floor actions,senate bill,858
116,1,s,Motion by Senator McConnell to reconsider the vote by which cloture on the motion to proceed to S. 1 was not invoked ( Record Vote No. 1 ) entered in Senate.,senate floor actions,senate bill,858
116,2032,s,S.Amdt.2708 Amendment SA 2708 proposed by Senator Sasse for Senator Feinstein. (consideration: CR S7508 ; text: CR S7504-7507 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,69
116,2052,s,S.Amdt.933 Amendment SA 933 proposed by Senator Cornyn for Senator Van Hollen. (consideration: CR S5217 ; text: CR S5217 ) To prohibit entitlement to benefits by reason of the honorary promotion.,senate amendment proposed (on the floor),amendment,609
116,2054,s,S.Amdt.2692 Amendment SA 2692 proposed by Senator Sasse for Senator Markey. (consideration: CR S7508-7509 ; text: CR S7508-7509 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,69
116,2065,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson with an amendment in the nature of a substitute. With written report No. 116-93 .,senate committee/subcommittee actions,senate bill,1701
116,2071,s,Committee on Indian Affairs. Reported by Senator Hoeven without amendment. With written report No. 116-132 .,senate committee/subcommittee actions,senate bill,622
116,2099,s,Committee on Environment and Public Works. Reported by Senator Barrasso without amendment. Without written report.,senate committee/subcommittee actions,senate bill,603
116,2096,s,S.Amdt.1272 Amendment SA 1272 proposed by Senator McConnell for Senator Boozman. (consideration: CR S7232 ; text: CR S7232 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,2165,s,Committee on Indian Affairs. Reported by Senator Hoeven with an amendment in the nature of a substitute. With written report No. 116-308 .,senate committee/subcommittee actions,senate bill,622
116,221,s,S.Amdt.1271 Amendment SA 1271 proposed by Senator McConnell for Senator Gardner. (consideration: CR S7229-7230 ; text: CR S7230 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,224,s,Committee on Indian Affairs. Reported by Senator Hoeven without amendment. With written report No. 116-10 .,senate committee/subcommittee actions,senate bill,622
116,2299,s,S.Amdt.2642 Amendment SA 2642 proposed by Senator McConnell for Senator Wicker. (consideration: CR S5354 ; text: CR S5337-5345 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,2321,s,S.Amdt.1523 Amendment SA 1523 proposed by Senator McConnell for Senator Blunt. (consideration: CR S1612-1613 ; text: CR S1613 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,2336,s,Committee on Veterans' Affairs. Reported by Senator Moran without amendment. Without written report.,senate committee/subcommittee actions,senate bill,1490
116,2353,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. With written report No. 116-211 .,senate committee/subcommittee actions,senate bill,1701
116,2429,s,S.Amdt.2730 Amendment SA 2730 proposed by Senator Cornyn for Senator Rubio. (consideration: CR S7902 ; text: CR S7941-7948 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,609
116,249,s,S.Amdt.1582 Amendment SA 1582 proposed by Senator McConnell for Senator Inhofe. (consideration: CR S2346-2347 ; text: CR S2346-2347 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,249,s,Committee on Foreign Relations. Reported by Senator Risch with an amendment in the nature of a substitute. Without written report.,senate committee/subcommittee actions,senate bill,505
116,2513,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson with an amendment. With written report No. 116-175 .,senate committee/subcommittee actions,senate bill,1701
116,2547,s,S.Amdt.1282 Amendment SA 1282 proposed by Senator McConnell for Senator Romney. (consideration: CR S200 ; text: CR S200 ) To modify a finding relating to the defense strategy of the United States.,senate amendment proposed (on the floor),amendment,858
116,2547,s,Committee on Foreign Relations. Reported by Senator Risch with an amendment in the nature of a substitute. Without written report.,senate committee/subcommittee actions,senate bill,505
116,257,s,Committee on Indian Affairs. Reported by Senator Hoeven without amendment. With written report No. 116-21 .,senate committee/subcommittee actions,senate bill,622
116,2597,s,S.Amdt.2705 Amendment SA 2705 proposed by Senator McConnell for Senator Thune. (consideration: CR S7468-7469 ; text: CR S7469 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,2629,s,"Committee on Health, Education, Labor, and Pensions. Reported by Senator Alexander with an amendment in the nature of a substitute. Without written report.",senate committee/subcommittee actions,senate bill,1561
116,2693,s,S.Amdt.2669 Amendment SA 2669 proposed by Senator McConnell for Senator Schatz. (consideration: CR S5881-5882 ; text: CR S5881-5882 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,2712,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. Without written report.,senate committee/subcommittee actions,senate bill,1701
116,2716,s,Committee on Indian Affairs. Reported by Senator Hoeven with an amendment. With written report No. 116-324 .,senate committee/subcommittee actions,senate bill,622
116,2740,s,"Committee on Health, Education, Labor, and Pensions. Reported by Senator Alexander without amendment. Without written report.",senate committee/subcommittee actions,senate bill,1561
116,2800,s,S.Amdt.2718 Amendment SA 2718 proposed by Senator Cruz. (consideration: CR S7666-7682 ; text: CR S7666-7682 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,1102
116,2827,s,S.Amdt.2722 Amendment SA 2722 proposed by Senator Brown. (consideration: CR S7859 ; text: CR S7859 ) To amend the title.,senate amendment proposed (on the floor),amendment,1726
116,2827,s,S.Amdt.2721 Amendment SA 2721 proposed by Senator Brown. (consideration: CR S7859 ; text: CR S7859 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,1726
116,2847,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. Without written report.,senate committee/subcommittee actions,senate bill,1701
116,2864,s,Committee on Veterans' Affairs. Reported by Senator Moran with an amendment in the nature of a substitute. Without written report.,senate committee/subcommittee actions,senate bill,1490
116,2927,s,"Committee on Health, Education, Labor, and Pensions. Reported by Senator Alexander without amendment. Without written report.",senate committee/subcommittee actions,senate bill,1561
116,3076,s,"Committee on Agriculture, Nutrition, and Forestry. Original measure reported to Senate by Senator Roberts. Without written report.",reported to senate,senate bill,882
116,3100,s,Committee on Indian Affairs. Reported by Senator Hoeven with an amendment in the nature of a substitute. With written report No. 116-282 .,senate committee/subcommittee actions,senate bill,622
116,3099,s,Committee on Indian Affairs. Reported by Senator Hoeven without amendment. With written report No. 116-281 .,senate committee/subcommittee actions,senate bill,622
116,3239,s,Committee on Environment and Public Works. Reported by Senator Barrasso without amendment. Without written report.,senate committee/subcommittee actions,senate bill,603
116,3248,s,S.Amdt.2715 Amendment SA 2715 proposed by Senator Braun for Senator Moran. (consideration: CR S7641-7642 ; text: CR S7642 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,839
116,3287,s,S.Amdt.2711 Amendment SA 2711 proposed by Senator Moran for Senator Enzi. (consideration: CR S7560 ; text: CR S7560 ) To improve the bill.,senate amendment proposed (on the floor),amendment,1490
116,3287,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson with an amendment in the nature of a substitute. With written report No. 116-278 .,senate committee/subcommittee actions,senate bill,1701
116,333,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. With written report No. 116-5 .,senate committee/subcommittee actions,senate bill,1701
116,3455,s,By Senator Johnson from Committee on Homeland Security and Governmental Affairs filed written report. Report No. 116-250 .,senate committee report filed after reporting,senate bill,1701
116,3455,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson with an amendment in the nature of a substitute. Without written report.,senate committee/subcommittee actions,senate bill,1701
116,347,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. Without written report.,senate committee/subcommittee actions,senate bill,1701
116,349,s,By Senator Barrasso from Committee on Environment and Public Works filed written report. Report No. 116-61 .,senate committee report filed after reporting,senate bill,603
116,349,s,Committee on Environment and Public Works. Reported by Senator Barrasso with an amendment in the nature of a substitute. Without written report.,senate committee/subcommittee actions,senate bill,603
116,3839,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. Without written report.,senate committee/subcommittee actions,senate bill,1701
116,384,s,S.Amdt.2567 Amendment SA 2567 proposed by Senator McConnell for Senator Capito. (consideration: CR S4881-4882 ; text: CR S4881-4882 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,858
116,384,s,"Committee on Commerce, Science, and Transportation. Reported by Senator Wicker with an amendment in the nature of a substitute. With written report No. 116-128 .",senate committee/subcommittee actions,senate bill,1002
116,3948,s,Committee on Indian Affairs. Reported by Senator Hoeven without amendment. With written report No. 116-271 .,senate committee/subcommittee actions,senate bill,622
116,395,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. With written report No. 116-14 .,senate committee/subcommittee actions,senate bill,1701
116,4049,s,"S.Amdt.1972 Amendment SA 1972 proposed by Senator Tester to Amendment SA 2301 . (consideration: CR S4370-4371 , S4375 ) To expand the list of diseases associated with exposure to certain herbicide agents for which there is a presumption of service connection for veterans who served in the Republic of Vietnam.",senate amendment proposed (on the floor),amendment,658
116,4049,s,"S.Amdt.2244 Amendment SA 2244 proposed by Senator Cornyn to Amendment SA 2301 . (consideration: CR S4326-4330 ; text: CR 6/29/2020 S3696 -3699) To restore American leadership in semiconductor manufacturing by increasing federal incentives in order to enable advanced research and development, secure the supply chain, and ensure long-term national security and economic competitiveness.",senate amendment proposed (on the floor),amendment,609
116,4049,s,S.Amdt.2252 Amendment SA 2252 proposed by Senator Schatz to Amendment SA 2301 . (consideration: CR S4316-4321 ; text: CR 6/29/2020 S3704 -3706) To reform Department of Defense transfers of personal property to law enforcement agencies.,senate amendment proposed (on the floor),amendment,132
116,4049,s,S.Amdt.2103 Amendment SA 2103 proposed by Senator Reed for Senator Hassan to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4196-4197 ) To improve the response of the Department of Defense to threats to United States forces from small unmanned aerial systems worldwide.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.1849 Amendment SA 1849 proposed by Senator Reed for Senator Van Hollen to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4196 ) For the relief of Richard W. Collins III.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2419 Amendment SA 2419 proposed by Senator Reed for Senator Sanders to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4195-4196 ) To provide incentives for the Department of Defense to achieve a clean audit opinion on its financial statements.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,"S.Amdt.2341 Amendment SA 2341 proposed by Senator Reed for Senator Wyden to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4195 ) To require the Secretary of the Army to submit to Congress a plan to finish remediation activities conducted by the Secretary in Umatilla, Oregon.",senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2319 Amendment SA 2319 proposed by Senator Reed for Senator Klobuchar to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4195 ) To provide an exception to the limitation on period of care provided to newborn children of veterans.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,"S.Amdt.2317 Amendment SA 2317 proposed by Senator Reed for Senator Harris to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4194-4195 ) To require the Secretary of Defense to commission an independent scientific study of the impacts of transboundary flows, spills, or discharges of pollution or debris from the Tijuana River on the personnel, activities, and installations of the Department of Defense.",senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2257 Amendment SA 2257 proposed by Senator Reed for Senator Brown to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4194 ) To require a report on the use and potential refurbishment of existing operating and mothballed Federal research and testing facilities to support hypersonics activities of the Department of Defense.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2220 Amendment SA 2220 proposed by Senator Reed for Senator Heinrich to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4193 ) To express the sense of the Senate on the extension of limitations on the importation of uranium from the Russian Federation.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2217 Amendment SA 2217 proposed by Senator Reed for Senator Feinstein to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4192-4193 ) To require the Secretary of Defense to conduct a study on military aviators and aviation support personnel to determine the incidence of cancer diagnosis and mortality among such aviators and personnel.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2168 Amendment SA 2168 proposed by Senator Reed for Senator Durbin to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4192 ) To express the Sense of Congress on support for coordinated action to ensure the security of Baltic allies.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2053 Amendment SA 2053 proposed by Senator Reed for Senator Markey to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4192 ) To impose reporting requirements relating to the SBIR and STTR programs of the Small Business Administration.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.1971 Amendment SA 1971 proposed by Senator Reed for Senator Tester to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4192 ) To require the Secretary of Veterans Affairs to provide veterans read-only access to the documents of such veterans contained in the Individual Longitudinal Exposure Record.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.1966 Amendment SA 1966 proposed by Senator Reed for Senator Tester to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4191-4192 ) To provide assistance to manage farmer and rancher stress and for the mental health of individuals in rural areas.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.1797 Amendment SA 1797 proposed by Senator Reed for Senator Jones to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4191 ) To improve the authority for operations of unmanned aircraft for educational purposes.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2417 Amendment SA 2417 proposed by Senator Reed for Senator Manchin to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4191 ) To modify the requirements for the Department of Energy response to the review by the Nuclear Weapons Council of the budget of the National Nuclear Security Administration.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2275 Amendment SA 2275 proposed by Senator Reed for Senator Peters to Amendment SA 2301 . (consideration: CR S4184 ) To require a plan for the continuity of the economy.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,"S.Amdt.2270 Amendment SA 2270 proposed by Senator Reed for Senator Menendez to Amendment SA 2301 . (consideration: CR S4184 ) To provide assistance for United States citizens and nationals taken hostage or unlawfully or wrongfully detained abroad, and for other purposes.",senate amendment proposed (on the floor),amendment,1465
116,4049,s,"S.Amdt.2269 Amendment SA 2269 proposed by Senator Reed for Senator Hirono to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4190 ) To require a report on the impact of the children of certain Filipino World War II veterans on the national security, foreign policy, and economic and humanitarian interests of the United States.",senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2256 Amendment SA 2256 proposed by Senator Reed for Senator Cantwell to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4189 ) To require an analysis of sourcing and industrial capacity issues related to aluminum.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2255 Amendment SA 2255 proposed by Senator Reed for Senator Cantwell to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4189 ) To extend real-time sound monitoring at Navy installations where tactical fighter aircraft operate.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2251 Amendment SA 2251 proposed by Senator Reed for Senator Merkley to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4188 ) To extend the prohibition on commercial export of certain munitions to the Hong Kong Police Force.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2215 Amendment SA 2215 proposed by Senator Reed for Senator King to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4188 ) To strengthen the Cybersecurity and Infrastructure Security Agency.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2186 Amendment SA 2186 proposed by Senator Reed for Senator Cortez Masto to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4188 ) To require the Comptroller General of the United States to submit to Congress a report assessing the billing practices of the Department of Defense for care received under the TRICARE program and at military medical treatment facilities.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2058 Amendment SA 2058 proposed by Senator Reed for Senator Smith to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4187-4188 ) To require the Secretary of Health and Human Services to conduct a study and issue a report on the affordability of insulin.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.1977 Amendment SA 1977 proposed by Senator Reed for Senator Bennet to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4187 ) To require a briefing on the assignment of members of the Armed Forces on active duty to the Joint Artificial Intelligence Center of the Department of Defense.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.1968 Amendment SA 1968 proposed by Senator Reed for Senator Tester to Amendment SA 2301 . (consideration: CR S4184 ) To expand eligibility for mental health services from the Department of Veterans Affairs to include members of the reserve components of the Armed Forces.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.1907 Amendment SA 1907 proposed by Senator Reed for Senator Warner to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4186 ) To require a report by the Comptroller General of the United States on diversity and inclusion within the civilian workforce of the Department of Defense.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,"S.Amdt.1808 Amendment SA 1808 proposed by Senator Reed for Senator Coons to Amendment SA 2301 . (consideration: CR S4184 ) To provide for Federal coordination of activities supporting sustainable chemistry, and for other purposes.",senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.1803 Amendment SA 1803 proposed by Senator Reed for Senator Warner to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4186 ) To improve efficient use of sensitive compartmented information facilities.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.1753 Amendment SA 1753 proposed by Senator Reed for Senator Peters to Amendment SA 2301 . (consideration: CR S4184 ; text: CR S4185-4186 ) To require the Secretary of Homeland Security to submit a report to Congress on the screening practices for Great Lakes and inland waterways seaports.,senate amendment proposed (on the floor),amendment,1465
116,4049,s,S.Amdt.2080 Amendment SA 2080 proposed by Senator McConnell for Senator Portman to Amendment SA 2301 . (consideration: CR S3642 ; text: CR S3642 ) To require an element in annual reports on cyber science and technology activities on work with academic consortia on high priority cybersecurity research activities in Department of Defense capabilities.,senate amendment proposed (on the floor),amendment,858
116,406,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson with an amendment. With written report No. 116-15 .,senate committee/subcommittee actions,senate bill,1701
116,4138,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. With written report No. 116-276 .,senate committee/subcommittee actions,senate bill,1701
116,4222,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson with an amendment. With written report No. 116-298 .,senate committee/subcommittee actions,senate bill,1701
116,434,s,Committee on Energy and Natural Resources. Reported by Senator Murkowski with an amendment in the nature of a substitute and an amendment to the title. Without written report.,senate committee/subcommittee actions,senate bill,1581
116,439,s,S.Amdt.1270 Amendment SA 1270 proposed by Senator McConnell for Senator Cardin. (consideration: CR S7229 ; text: CR S7229 ) To improve the bill.,senate amendment proposed (on the floor),amendment,858
116,439,s,Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. With written report No. 116-153 .,senate committee/subcommittee actions,senate bill,1701
116,4556,s,Committee on Indian Affairs. Reported by Senator Hoeven without amendment. With written report No. 116-306 .,senate committee/subcommittee actions,senate bill,622
116,46,s,Committee on Indian Affairs. Reported by Senator Hoeven without amendment. With written report No. 116-6 .,senate committee/subcommittee actions,senate bill,622
116,481,s,S.Amdt.2714 Amendment SA 2714 proposed by Senator Braun for Senator Klobuchar. (consideration: CR S7640-7641 ; text: CR S7640-7641 ) In the nature of a substitute.,senate amendment proposed (on the floor),amendment,839
116,496,s,"Committee on Commerce, Science, and Transportation. Reported by Senator Wicker without amendment. With written report No. 116-183 .",senate committee/subcommittee actions,senate bill,1002
116,529,s,S.Amdt.2500 Amendment SA 2500 proposed by Senator Sullivan for Senator Cantwell. (consideration: CR S4647 ; text: CR S4647 ) To improve the authorizations of appropriations.,senate amendment proposed (on the floor),amendment,1352
116,529,s,"Committee on Commerce, Science, and Transportation. Reported by Senator Wicker with an amendment in the nature of a substitute. With written report No. 116-165 .",senate committee/subcommittee actions,senate bill,1002
