mpg,cylinders,displacement,horsepower,weight,acceleration,vehicle id
18,3,70,90,2124,13.5,M-1691001
19,4,122,85,2310,18.5,F-1691012
21,6,155,107,2472,14,M-1691023
26,4,98,90,2265,15.5,F-1691034
15,8,350,145,4082,13,C-1691045
16,8,400,230,4278,9.5,P-1691056
29,4,68,49,1867,19.5,F-1691067
24,4,116,75,2158,15.5,O-1691078
20,4,114,91,2582,14,A-1691089
19,4,121,112,2868,15.5,V-1691100
15,8,318,150,3399,11,D-1691111
24,4,121,110,2660,14,S-1691122
20,6,156,122,2807,13.5,T-1691133
11,8,350,180,3664,11,O-1691144
20,6,198,95,3102,16.5,P-1691155
21,6,200,?,2875,17,F-1691166
19,6,232,100,2901,16,A-1691177
15,6,250,100,3336,17,C-1691188
31,4,79,67,1950,19,D-1691199
26,4,122,80,2451,16.5,F-1691210
32,4,71,65,1836,21,T-1691221
25,4,140,75,2542,17,C-1691232
16,6,250,100,3781,17,C-1691243
16,6,258,110,3632,18,A-1691254
18,6,225,105,3613,16.5,P-1691265
16,8,302,140,4141,14,F-1691276
13,8,350,150,4699,14.5,B-1691287
14,8,318,150,4457,13.5,D-1691298
14,8,302,140,4638,16,F-1691309
14,8,304,150,4257,15.5,A-1691320
29,4,98,83,2219,16.5,A-1691331
26,4,79,67,1963,15.5,V-1691342
26,4,97,78,2300,14.5,O-1691353
31,4,76,52,1649,16.5,T-1691364
32,4,83,61,2003,19,D-1691375
28,4,90,75,2125,14.5,D-1691386
24,4,90,75,2108,15.5,F-1691397
26,4,116,75,2246,14,F-1691408
24,4,120,97,2489,15,H-1691419
26,4,108,93,2391,15.5,S-1691430
31,4,79,67,2000,16,F-1691441
19,6,225,95,3264,16,P-1691452
18,6,250,105,3459,16,C-1691463
15,6,250,72,3432,21,M-1691474
15,6,250,72,3158,19.5,F-1691485
16,8,400,170,4668,11.5,P-1691496
15,8,350,145,4440,14,C-1691507
16,8,318,150,4498,14.5,P-1691518
14,8,351,148,4657,13.5,F-1691529
17,6,231,110,3907,21,B-1691540
16,6,250,105,3897,18.5,C-1691551
15,6,258,110,3730,19,A-1691562
18,6,225,95,3785,19,P-1691573
21,6,231,110,3039,15,B-1691584
20,8,262,110,3221,13.5,C-1691595
13,8,302,129,3169,12,F-1691606
29,4,97,75,2171,16,T-1691617
23,4,140,83,2639,17,F-1691628
20,6,232,100,2914,16,A-1691639
23,4,140,78,2592,18.5,P-1691650
24,4,134,96,2702,13.5,T-1691661
25,4,90,71,2223,16.5,V-1691672
24,4,119,97,2545,17,D-1691683
18,6,171,97,2984,14.5,F-1691694
29,4,90,70,1937,14,V-1691705
19,6,232,90,3211,17,A-1691716
23,4,115,95,2694,15,A-1691727
23,4,120,88,2957,17,P-1691738
22,4,121,98,2945,14.5,V-1691749
25,4,121,115,2671,13.5,S-1691760
33,4,91,53,1795,17.5,H-1691771
28,4,107,86,2464,15.5,F-1691782
25,4,116,81,2220,16.9,O-1691793
25,4,140,92,2572,14.9,C-1691804
26,4,98,79,2255,17.7,D-1691815
27,4,101,83,2202,15.3,R-1691826
17.5,8,305,140,4215,13,C-1691837
16,8,318,150,4190,13,D-1691848
15.5,8,304,120,3962,13.9,A-1691859
14.5,8,351,152,4215,12.8,F-1691870
22,6,225,100,3233,15.4,P-1691881
22,6,250,105,3353,14.5,C-1691892
24,6,200,81,3012,17.6,F-1691903
22.5,6,232,90,3085,17.6,A-1691914
29,4,85,52,2035,22.2,C-1691925
24.5,4,98,60,2164,22.1,C-1691936
29,4,90,70,1937,14.2,V-1691947
33,4,91,53,1795,17.4,H-1691958
20,6,225,100,3651,17.7,D-1691969
18,6,250,78,3574,21,F-1691980
18.5,6,250,110,3645,16.2,P-1691991
17.5,6,258,95,3193,17.8,A-1692002
29.5,4,97,71,1825,12.2,V-1692013
32,4,85,70,1990,17,D-1692024
28,4,97,75,2155,16.4,T-1692035
26.5,4,140,72,2565,13.6,F-1692046
20,4,130,102,3150,15.7,V-1692057
13,8,318,150,3940,13.2,P-1692068
19,4,120,88,3270,21.9,P-1692079
19,6,156,108,2930,15.5,T-1692090
16.5,6,168,120,3820,16.7,M-1692101
16.5,8,350,180,4380,12.1,C-1692112
13,8,350,145,4055,12,C-1692123
13,8,302,130,3870,15,F-1692134
13,8,318,150,3755,14,D-1692145
31.5,4,98,68,2045,18.5,H-1692156
30,4,111,80,2155,14.8,B-1692167
36,4,79,58,1825,18.6,R-1692178
25.5,4,122,96,2300,15.5,P-1692189
33.5,4,85,70,1945,16.8,D-1692200
17.5,8,305,145,3880,12.5,C-1692211
17,8,260,110,4060,19,O-1692222
15.5,8,318,145,4140,13.7,D-1692233
15,8,302,130,4295,14.9,M-1692244
17.5,6,250,110,3520,16.4,C-1692255
20.5,6,231,105,3425,16.9,B-1692266
19,6,225,100,3630,17.7,P-1692277
18.5,6,250,98,3525,19,F-1692288
16,8,400,180,4220,11.1,P-1692299
15.5,8,350,170,4165,11.4,C-1692310
15.5,8,400,190,4325,12.2,C-1692321
16,8,351,149,4335,14.5,F-1692332
29,4,97,78,1940,14.5,V-1692343
24.5,4,151,88,2740,16,P-1692354
26,4,97,75,2265,18.2,T-1692365
25.5,4,140,89,2755,15.8,F-1692376
30.5,4,98,63,2051,17,C-1692387
33.5,4,98,83,2075,15.9,D-1692398
30,4,97,67,1985,16.4,S-1692409
30.5,4,97,78,2190,14.1,V-1692420
22,6,146,97,2815,14.5,D-1692431
21.5,4,121,110,2600,12.8,B-1692442
21.5,3,80,110,2720,13.5,M-1692453
43.1,4,90,48,1985,21.5,V-1692464
36.1,4,98,66,1800,14.4,F-1692475
32.8,4,78,52,1985,19.4,M-1692486
39.4,4,85,70,2070,18.6,D-1692497
36.1,4,91,60,1800,16.4,H-1692508
19.9,8,260,110,3365,15.5,O-1692519
19.4,8,318,140,3735,13.2,D-1692530
20.2,8,302,139,3570,12.8,M-1692541
19.2,6,231,105,3535,19.2,P-1692552
20.5,6,200,95,3155,18.2,C-1692563
20.2,6,200,85,2965,15.8,F-1692574
25.1,4,140,88,2720,15.4,F-1692585
20.5,6,225,100,3430,17.2,P-1692596
19.4,6,232,90,3210,17.2,A-1692607
20.6,6,231,105,3380,15.8,B-1692618
20.8,6,200,85,3070,16.7,M-1692629
18.6,6,225,110,3620,18.7,D-1692640
18.1,6,258,120,3410,15.1,A-1692651
19.2,8,305,145,3425,13.2,C-1692662
17.7,6,231,165,3445,13.4,B-1692673
18.1,8,302,139,3205,11.2,F-1692684
17.5,8,318,140,4080,13.7,D-1692695
30,4,98,68,2155,16.5,C-1692706
27.5,4,134,95,2560,14.2,T-1692717
27.2,4,119,97,2300,14.7,D-1692728
30.9,4,105,75,2230,14.5,D-1692739
21.1,4,134,95,2515,14.8,T-1692750
23.2,4,156,105,2745,16.7,P-1692761
23.8,4,151,85,2855,17.6,O-1692772
23.9,4,119,97,2405,14.9,D-1692783
20.3,5,131,103,2830,15.9,A-1692794
17,6,163,125,3140,13.6,V-1692805
21.6,4,121,115,2795,15.7,S-1692816
16.2,6,163,133,3410,15.8,P-1692827
31.5,4,89,71,1990,14.9,V-1692838
29.5,4,98,68,2135,16.6,H-1692849
21.5,6,231,115,3245,15.4,P-1692860
19.8,6,200,85,2990,18.2,M-1692871
22.3,4,140,88,2890,17.3,F-1692882
20.2,6,232,90,3265,18.2,A-1692893
20.6,6,225,110,3360,16.6,D-1692904
17,8,305,130,3840,15.4,C-1692915
17.6,8,302,129,3725,13.4,F-1692926
16.5,8,351,138,3955,13.2,M-1692937
18.2,8,318,135,3830,15.2,D-1692948
16.9,8,350,155,4360,14.9,B-1692959
15.5,8,351,142,4054,14.3,F-1692970
19.2,8,267,125,3605,15,C-1692981
18.5,8,360,150,3940,13,C-1692992
31.9,4,89,71,1925,14,V-1693003
34.1,4,86,65,1975,15.2,M-1693014
35.7,4,98,80,1915,14.4,D-1693025
27.4,4,121,80,2670,15,A-1693036
25.4,5,183,77,3530,20.1,M-1693047
23,8,350,125,3900,17.4,C-1693058
27.2,4,141,71,3190,24.8,P-1693069
23.9,8,260,90,3420,22.2,O-1693080
34.2,4,105,70,2200,13.2,P-1693091
34.5,4,105,70,2150,14.9,P-1693102
31.8,4,85,65,2020,19.2,D-1693113
37.3,4,91,69,2130,14.7,F-1693124
28.4,4,151,90,2670,16,B-1693135
28.8,6,173,115,2595,11.3,C-1693146
26.8,6,173,115,2700,12.9,O-1693157
33.5,4,151,90,2556,13.2,P-1693168
41.5,4,98,76,2144,14.7,V-1693179
38.1,4,89,60,1968,18.8,T-1693190
32.1,4,98,70,2120,15.5,C-1693201
37.2,4,86,65,2019,16.4,D-1693212
28,4,151,90,2678,16.5,C-1693223
26.4,4,140,88,2870,18.1,F-1693234
24.3,4,151,90,3003,20.1,A-1693245
19.1,6,225,90,3381,18.7,D-1693256
34.3,4,97,78,2188,15.8,A-1693267
29.8,4,134,90,2711,15.5,T-1693278
31.3,4,120,75,2542,17.5,M-1693289
37,4,119,92,2434,15,D-1693300
32.2,4,108,75,2265,15.2,T-1693311
46.6,4,86,65,2110,17.9,M-1693322
27.9,4,156,105,2800,14.4,D-1693333
40.8,4,85,65,2110,19.2,D-1693344
44.3,4,90,48,2085,21.7,V-1693355
43.4,4,90,48,2335,23.7,V-1693366
36.4,5,121,67,2950,19.9,A-1693377
30,4,146,67,3250,21.8,M-1693388
44.6,4,91,67,1850,13.8,H-1693399
40.9,4,85,?,1835,17.3,R-1693410
33.8,4,97,67,2145,18,S-1693421
29.8,4,89,62,1845,15.3,V-1693432
32.7,6,168,132,2910,11.4,D-1693443
23.7,3,70,100,2420,12.5,M-1693454
35,4,122,88,2500,15.1,T-1693465
23.6,4,140,?,2905,14.3,F-1693476
32.4,4,107,72,2290,17,H-1693487
27.2,4,135,84,2490,15.7,P-1693498
26.6,4,151,84,2635,16.4,B-1693509
25.8,4,156,92,2620,14.4,D-1693520
23.5,6,173,110,2725,12.6,C-1693531
30,4,135,84,2385,12.9,P-1693542
39.1,4,79,58,1755,16.9,T-1693553
39,4,86,64,1875,16.4,P-1693564
35.1,4,81,60,1760,16.1,H-1693575
32.3,4,97,67,2065,17.8,S-1693586
37,4,85,65,1975,19.4,D-1693597
37.7,4,89,62,2050,17.3,T-1693608
34.1,4,91,68,1985,16,M-1693619
34.7,4,105,63,2215,14.9,P-1693630
34.4,4,98,65,2045,16.2,F-1693641
29.9,4,98,65,2380,20.7,F-1693652
33,4,105,74,2190,14.2,V-1693663
34.5,4,100,?,2320,15.8,R-1693674
33.7,4,107,75,2210,14.4,H-1693685
32.4,4,108,75,2350,16.8,T-1693696
32.9,4,119,100,2615,14.8,D-1693707
31.6,4,120,74,2635,18.3,M-1693718
28.1,4,141,80,3230,20.4,P-1693729
30.7,6,145,76,3160,19.6,V-1693740
25.4,6,168,116,2900,12.6,T-1693751
24.2,6,146,120,2930,13.8,D-1693762
22.4,6,231,110,3415,15.8,B-1693773
26.6,8,350,105,3725,19,O-1693784
20.2,6,200,88,3060,17.1,F-1693795
17.6,6,225,85,3465,16.6,C-1693806
28,4,112,88,2605,19.6,C-1693817
27,4,112,88,2640,18.6,C-1693828
34,4,112,88,2395,18,C-1693839
31,4,112,85,2575,16.2,P-1693850
29,4,135,84,2525,16,D-1693861
27,4,151,90,2735,18,P-1693872
24,4,140,92,2865,16.4,F-1693883
23,4,151,?,3035,20.5,A-1693894
36,4,105,74,1980,15.3,V-1693905
37,4,91,68,2025,18.2,M-1693916
31,4,91,68,1970,17.6,M-1693927
38,4,105,63,2125,14.7,P-1693938
36,4,98,70,2125,17.3,M-1693949
36,4,120,88,2160,14.5,N-1693960
36,4,107,75,2205,14.5,H-1693971
34,4,108,70,2245,16.9,T-1693982
38,4,91,67,1965,15,H-1693993
32,4,91,67,1965,15.7,H-1694004
38,4,91,67,1995,16.2,D-1694015
25,6,181,110,2945,16.4,B-1694026
38,6,262,85,3015,17,O-1694037
26,4,156,92,2585,14.5,C-1694048
22,6,232,112,2835,14.7,F-1694059
32,4,144,96,2665,13.9,T-1694070
36,4,135,84,2370,13,D-1694081
27,4,151,90,2950,17.3,C-1694092
27,4,140,86,2790,15.6,F-1694103
44,4,97,52,2130,24.6,V-1694114
32,4,135,84,2295,11.6,D-1694125
28,4,120,79,2625,18.6,F-1694136
31,4,119,82,2720,19.4,C-1694147
