,date_str,sp500,djia,date_ex1,date_ex2,date_ex3
85,2018-08-01,2813.36,25333.82,August 01 2018,"Wednesday, 2018-08-01","Aug-01, 18"
86,2018-08-02,2827.22,25326.16,August 02 2018,"Thursday, 2018-08-02","Aug-02, 18"
87,2018-08-03,2840.35,25462.58,August 03 2018,"Friday, 2018-08-03","Aug-03, 18"
88,2018-08-06,2850.4,25502.18,August 06 2018,"Monday, 2018-08-06","Aug-06, 18"
89,2018-08-07,2858.45,25628.91,August 07 2018,"Tuesday, 2018-08-07","Aug-07, 18"
90,2018-08-08,2857.7,25583.75,August 08 2018,"Wednesday, 2018-08-08","Aug-08, 18"
91,2018-08-09,2853.58,25509.23,August 09 2018,"Thursday, 2018-08-09","Aug-09, 18"
92,2018-08-10,2833.28,25313.14,August 10 2018,"Friday, 2018-08-10","Aug-10, 18"
93,2018-08-13,2821.93,25187.7,August 13 2018,"Monday, 2018-08-13","Aug-13, 18"
94,2018-08-14,2839.96,25299.92,August 14 2018,"Tuesday, 2018-08-14","Aug-14, 18"
95,2018-08-15,2818.37,25162.41,August 15 2018,"Wednesday, 2018-08-15","Aug-15, 18"
96,2018-08-16,2840.69,25558.73,August 16 2018,"Thursday, 2018-08-16","Aug-16, 18"
97,2018-08-17,2850.13,25669.32,August 17 2018,"Friday, 2018-08-17","Aug-17, 18"
98,2018-08-20,2857.05,25758.69,August 20 2018,"Monday, 2018-08-20","Aug-20, 18"
99,2018-08-21,2862.96,25822.29,August 21 2018,"Tuesday, 2018-08-21","Aug-21, 18"
100,2018-08-22,2861.82,25733.6,August 22 2018,"Wednesday, 2018-08-22","Aug-22, 18"
101,2018-08-23,2856.98,25656.98,August 23 2018,"Thursday, 2018-08-23","Aug-23, 18"
102,2018-08-24,2874.69,25790.35,August 24 2018,"Friday, 2018-08-24","Aug-24, 18"
103,2018-08-27,2896.74,26049.64,August 27 2018,"Monday, 2018-08-27","Aug-27, 18"
104,2018-08-28,2897.52,26064.02,August 28 2018,"Tuesday, 2018-08-28","Aug-28, 18"
105,2018-08-29,2914.04,26124.57,August 29 2018,"Wednesday, 2018-08-29","Aug-29, 18"
106,2018-08-30,2901.13,25986.92,August 30 2018,"Thursday, 2018-08-30","Aug-30, 18"
107,2018-08-31,2901.52,25964.82,August 31 2018,"Friday, 2018-08-31","Aug-31, 18"
108,2018-09-03,,,September 03 2018,"Monday, 2018-09-03","Sep-03, 18"
109,2018-09-04,2896.72,25952.48,September 04 2018,"Tuesday, 2018-09-04","Sep-04, 18"
110,2018-09-05,2888.6,25974.99,September 05 2018,"Wednesday, 2018-09-05","Sep-05, 18"
111,2018-09-06,2878.05,25995.87,September 06 2018,"Thursday, 2018-09-06","Sep-06, 18"
112,2018-09-07,2871.68,25916.54,September 07 2018,"Friday, 2018-09-07","Sep-07, 18"
113,2018-09-10,2877.13,25857.07,September 10 2018,"Monday, 2018-09-10","Sep-10, 18"
114,2018-09-11,2887.89,25971.06,September 11 2018,"Tuesday, 2018-09-11","Sep-11, 18"
115,2018-09-12,2888.92,25998.92,September 12 2018,"Wednesday, 2018-09-12","Sep-12, 18"
116,2018-09-13,2904.18,26145.99,September 13 2018,"Thursday, 2018-09-13","Sep-13, 18"
117,2018-09-14,2904.98,26154.67,September 14 2018,"Friday, 2018-09-14","Sep-14, 18"
118,2018-09-17,2888.8,26062.12,September 17 2018,"Monday, 2018-09-17","Sep-17, 18"
119,2018-09-18,2904.31,26246.96,September 18 2018,"Tuesday, 2018-09-18","Sep-18, 18"
120,2018-09-19,2907.95,26405.76,September 19 2018,"Wednesday, 2018-09-19","Sep-19, 18"
121,2018-09-20,2930.75,26656.98,September 20 2018,"Thursday, 2018-09-20","Sep-20, 18"
122,2018-09-21,2929.67,26743.5,September 21 2018,"Friday, 2018-09-21","Sep-21, 18"
123,2018-09-24,2919.37,26562.05,September 24 2018,"Monday, 2018-09-24","Sep-24, 18"
124,2018-09-25,2915.56,26492.21,September 25 2018,"Tuesday, 2018-09-25","Sep-25, 18"
125,2018-09-26,2905.97,26385.28,September 26 2018,"Wednesday, 2018-09-26","Sep-26, 18"
126,2018-09-27,2914.0,26439.93,September 27 2018,"Thursday, 2018-09-27","Sep-27, 18"
127,2018-09-28,2913.98,26458.31,September 28 2018,"Friday, 2018-09-28","Sep-28, 18"
128,2018-10-01,2924.59,26651.21,October 01 2018,"Monday, 2018-10-01","Oct-01, 18"
129,2018-10-02,2923.43,26773.94,October 02 2018,"Tuesday, 2018-10-02","Oct-02, 18"
130,2018-10-03,2925.51,26828.39,October 03 2018,"Wednesday, 2018-10-03","Oct-03, 18"
131,2018-10-04,2901.61,26627.48,October 04 2018,"Thursday, 2018-10-04","Oct-04, 18"
132,2018-10-05,2885.57,26447.05,October 05 2018,"Friday, 2018-10-05","Oct-05, 18"
133,2018-10-08,2884.43,26486.78,October 08 2018,"Monday, 2018-10-08","Oct-08, 18"
134,2018-10-09,2880.34,26430.57,October 09 2018,"Tuesday, 2018-10-09","Oct-09, 18"
135,2018-10-10,2785.68,25598.74,October 10 2018,"Wednesday, 2018-10-10","Oct-10, 18"
136,2018-10-11,2728.37,25052.83,October 11 2018,"Thursday, 2018-10-11","Oct-11, 18"
137,2018-10-12,2767.13,25339.99,October 12 2018,"Friday, 2018-10-12","Oct-12, 18"
138,2018-10-15,2750.79,25250.55,October 15 2018,"Monday, 2018-10-15","Oct-15, 18"
139,2018-10-16,2809.92,25798.42,October 16 2018,"Tuesday, 2018-10-16","Oct-16, 18"
140,2018-10-17,2809.21,25706.68,October 17 2018,"Wednesday, 2018-10-17","Oct-17, 18"
141,2018-10-18,2768.78,25379.45,October 18 2018,"Thursday, 2018-10-18","Oct-18, 18"
142,2018-10-19,2767.78,25444.34,October 19 2018,"Friday, 2018-10-19","Oct-19, 18"
143,2018-10-22,2755.88,25317.41,October 22 2018,"Monday, 2018-10-22","Oct-22, 18"
144,2018-10-23,2740.69,25191.43,October 23 2018,"Tuesday, 2018-10-23","Oct-23, 18"
145,2018-10-24,2656.1,24583.42,October 24 2018,"Wednesday, 2018-10-24","Oct-24, 18"
146,2018-10-25,2705.57,24984.55,October 25 2018,"Thursday, 2018-10-25","Oct-25, 18"
147,2018-10-26,2658.69,24688.31,October 26 2018,"Friday, 2018-10-26","Oct-26, 18"
148,2018-10-29,2641.25,24442.92,October 29 2018,"Monday, 2018-10-29","Oct-29, 18"
149,2018-10-30,2682.63,24874.64,October 30 2018,"Tuesday, 2018-10-30","Oct-30, 18"
150,2018-10-31,2711.74,25115.76,October 31 2018,"Wednesday, 2018-10-31","Oct-31, 18"
151,2018-11-01,2740.37,25380.74,November 01 2018,"Thursday, 2018-11-01","Nov-01, 18"
152,2018-11-02,2723.06,25270.83,November 02 2018,"Friday, 2018-11-02","Nov-02, 18"
153,2018-11-05,2738.31,25461.7,November 05 2018,"Monday, 2018-11-05","Nov-05, 18"
154,2018-11-06,2755.45,25635.01,November 06 2018,"Tuesday, 2018-11-06","Nov-06, 18"
155,2018-11-07,2813.89,26180.3,November 07 2018,"Wednesday, 2018-11-07","Nov-07, 18"
156,2018-11-08,2806.83,26191.22,November 08 2018,"Thursday, 2018-11-08","Nov-08, 18"
157,2018-11-09,2781.01,25989.3,November 09 2018,"Friday, 2018-11-09","Nov-09, 18"
158,2018-11-12,2726.22,25387.18,November 12 2018,"Monday, 2018-11-12","Nov-12, 18"
159,2018-11-13,2722.18,25286.49,November 13 2018,"Tuesday, 2018-11-13","Nov-13, 18"
160,2018-11-14,2701.58,25080.5,November 14 2018,"Wednesday, 2018-11-14","Nov-14, 18"
161,2018-11-15,2730.2,25289.27,November 15 2018,"Thursday, 2018-11-15","Nov-15, 18"
162,2018-11-16,2736.27,25413.22,November 16 2018,"Friday, 2018-11-16","Nov-16, 18"
163,2018-11-19,2690.73,25017.44,November 19 2018,"Monday, 2018-11-19","Nov-19, 18"
164,2018-11-20,2641.89,24465.64,November 20 2018,"Tuesday, 2018-11-20","Nov-20, 18"
165,2018-11-21,2649.93,24464.69,November 21 2018,"Wednesday, 2018-11-21","Nov-21, 18"
166,2018-11-22,,,November 22 2018,"Thursday, 2018-11-22","Nov-22, 18"
167,2018-11-23,2632.56,24285.95,November 23 2018,"Friday, 2018-11-23","Nov-23, 18"
168,2018-11-26,2673.45,24640.24,November 26 2018,"Monday, 2018-11-26","Nov-26, 18"
169,2018-11-27,2682.17,24748.73,November 27 2018,"Tuesday, 2018-11-27","Nov-27, 18"
170,2018-11-28,2743.79,25366.43,November 28 2018,"Wednesday, 2018-11-28","Nov-28, 18"
171,2018-11-29,2737.76,25338.84,November 29 2018,"Thursday, 2018-11-29","Nov-29, 18"
172,2018-11-30,2760.17,25538.46,November 30 2018,"Friday, 2018-11-30","Nov-30, 18"
173,2018-12-03,2790.37,25826.43,December 03 2018,"Monday, 2018-12-03","Dec-03, 18"
174,2018-12-04,2700.06,25027.07,December 04 2018,"Tuesday, 2018-12-04","Dec-04, 18"
175,2018-12-05,,,December 05 2018,"Wednesday, 2018-12-05","Dec-05, 18"
176,2018-12-06,2695.95,24947.67,December 06 2018,"Thursday, 2018-12-06","Dec-06, 18"
177,2018-12-07,2633.08,24388.95,December 07 2018,"Friday, 2018-12-07","Dec-07, 18"
178,2018-12-10,2637.72,24423.26,December 10 2018,"Monday, 2018-12-10","Dec-10, 18"
179,2018-12-11,2636.78,24370.24,December 11 2018,"Tuesday, 2018-12-11","Dec-11, 18"
180,2018-12-12,2651.07,24527.27,December 12 2018,"Wednesday, 2018-12-12","Dec-12, 18"
181,2018-12-13,2650.54,24597.38,December 13 2018,"Thursday, 2018-12-13","Dec-13, 18"
182,2018-12-14,2599.95,24100.51,December 14 2018,"Friday, 2018-12-14","Dec-14, 18"
183,2018-12-17,2545.94,23592.98,December 17 2018,"Monday, 2018-12-17","Dec-17, 18"
184,2018-12-18,2546.16,23675.64,December 18 2018,"Tuesday, 2018-12-18","Dec-18, 18"
185,2018-12-19,2506.96,23323.66,December 19 2018,"Wednesday, 2018-12-19","Dec-19, 18"
186,2018-12-20,2467.42,22859.6,December 20 2018,"Thursday, 2018-12-20","Dec-20, 18"
187,2018-12-21,2416.62,22445.37,December 21 2018,"Friday, 2018-12-21","Dec-21, 18"
188,2018-12-24,2351.1,21792.2,December 24 2018,"Monday, 2018-12-24","Dec-24, 18"
189,2018-12-25,,,December 25 2018,"Tuesday, 2018-12-25","Dec-25, 18"
190,2018-12-26,2467.7,22878.45,December 26 2018,"Wednesday, 2018-12-26","Dec-26, 18"
191,2018-12-27,2488.83,23138.82,December 27 2018,"Thursday, 2018-12-27","Dec-27, 18"
192,2018-12-28,2485.74,23062.4,December 28 2018,"Friday, 2018-12-28","Dec-28, 18"
193,2018-12-31,2506.85,23327.46,December 31 2018,"Monday, 2018-12-31","Dec-31, 18"
194,2019-01-01,,,January 01 2019,"Tuesday, 2019-01-01","Jan-01, 19"
195,2019-01-02,2510.03,23346.24,January 02 2019,"Wednesday, 2019-01-02","Jan-02, 19"
196,2019-01-03,2447.89,22686.22,January 03 2019,"Thursday, 2019-01-03","Jan-03, 19"
197,2019-01-04,2531.94,23433.16,January 04 2019,"Friday, 2019-01-04","Jan-04, 19"
198,2019-01-07,2549.69,23531.35,January 07 2019,"Monday, 2019-01-07","Jan-07, 19"
199,2019-01-08,2574.41,23787.45,January 08 2019,"Tuesday, 2019-01-08","Jan-08, 19"
200,2019-01-09,2584.96,23879.12,January 09 2019,"Wednesday, 2019-01-09","Jan-09, 19"
201,2019-01-10,2596.64,24001.92,January 10 2019,"Thursday, 2019-01-10","Jan-10, 19"
202,2019-01-11,2596.26,23995.95,January 11 2019,"Friday, 2019-01-11","Jan-11, 19"
203,2019-01-14,2582.61,23909.84,January 14 2019,"Monday, 2019-01-14","Jan-14, 19"
204,2019-01-15,2610.3,24065.59,January 15 2019,"Tuesday, 2019-01-15","Jan-15, 19"
205,2019-01-16,2616.1,24207.16,January 16 2019,"Wednesday, 2019-01-16","Jan-16, 19"
206,2019-01-17,2635.96,24370.1,January 17 2019,"Thursday, 2019-01-17","Jan-17, 19"
207,2019-01-18,2670.71,24706.35,January 18 2019,"Friday, 2019-01-18","Jan-18, 19"
208,2019-01-21,,,January 21 2019,"Monday, 2019-01-21","Jan-21, 19"
209,2019-01-22,2632.9,24404.48,January 22 2019,"Tuesday, 2019-01-22","Jan-22, 19"
210,2019-01-23,2638.7,24575.62,January 23 2019,"Wednesday, 2019-01-23","Jan-23, 19"
211,2019-01-24,2642.33,24553.24,January 24 2019,"Thursday, 2019-01-24","Jan-24, 19"
212,2019-01-25,2664.76,24737.2,January 25 2019,"Friday, 2019-01-25","Jan-25, 19"
213,2019-01-28,2643.85,24528.22,January 28 2019,"Monday, 2019-01-28","Jan-28, 19"
214,2019-01-29,2640.0,24579.96,January 29 2019,"Tuesday, 2019-01-29","Jan-29, 19"
215,2019-01-30,2681.05,25014.86,January 30 2019,"Wednesday, 2019-01-30","Jan-30, 19"
216,2019-01-31,2704.1,24999.67,January 31 2019,"Thursday, 2019-01-31","Jan-31, 19"
217,2019-02-01,2706.53,25063.89,February 01 2019,"Friday, 2019-02-01","Feb-01, 19"
218,2019-02-04,2724.87,25239.37,February 04 2019,"Monday, 2019-02-04","Feb-04, 19"
219,2019-02-05,2737.7,25411.52,February 05 2019,"Tuesday, 2019-02-05","Feb-05, 19"
220,2019-02-06,2731.61,25390.3,February 06 2019,"Wednesday, 2019-02-06","Feb-06, 19"
221,2019-02-07,2706.05,25169.53,February 07 2019,"Thursday, 2019-02-07","Feb-07, 19"
222,2019-02-08,2707.88,25106.33,February 08 2019,"Friday, 2019-02-08","Feb-08, 19"
223,2019-02-11,2709.8,25053.11,February 11 2019,"Monday, 2019-02-11","Feb-11, 19"
224,2019-02-12,2744.73,25425.76,February 12 2019,"Tuesday, 2019-02-12","Feb-12, 19"
225,2019-02-13,2753.03,25543.27,February 13 2019,"Wednesday, 2019-02-13","Feb-13, 19"
226,2019-02-14,2745.73,25439.39,February 14 2019,"Thursday, 2019-02-14","Feb-14, 19"
227,2019-02-15,2775.6,25883.25,February 15 2019,"Friday, 2019-02-15","Feb-15, 19"
228,2019-02-18,,,February 18 2019,"Monday, 2019-02-18","Feb-18, 19"
229,2019-02-19,2779.76,25891.32,February 19 2019,"Tuesday, 2019-02-19","Feb-19, 19"
230,2019-02-20,2784.7,25954.44,February 20 2019,"Wednesday, 2019-02-20","Feb-20, 19"
231,2019-02-21,2774.88,25850.63,February 21 2019,"Thursday, 2019-02-21","Feb-21, 19"
232,2019-02-22,2792.67,26031.81,February 22 2019,"Friday, 2019-02-22","Feb-22, 19"
233,2019-02-25,2796.11,26091.95,February 25 2019,"Monday, 2019-02-25","Feb-25, 19"
234,2019-02-26,2793.9,26057.98,February 26 2019,"Tuesday, 2019-02-26","Feb-26, 19"
235,2019-02-27,2792.38,25985.16,February 27 2019,"Wednesday, 2019-02-27","Feb-27, 19"
236,2019-02-28,2784.49,25916.0,February 28 2019,"Thursday, 2019-02-28","Feb-28, 19"
237,2019-03-01,2803.69,26026.32,March 01 2019,"Friday, 2019-03-01","Mar-01, 19"
238,2019-03-04,2792.81,25819.65,March 04 2019,"Monday, 2019-03-04","Mar-04, 19"
239,2019-03-05,2789.65,25806.63,March 05 2019,"Tuesday, 2019-03-05","Mar-05, 19"
240,2019-03-06,2771.45,25673.46,March 06 2019,"Wednesday, 2019-03-06","Mar-06, 19"
241,2019-03-07,2748.93,25473.23,March 07 2019,"Thursday, 2019-03-07","Mar-07, 19"
242,2019-03-08,2743.07,25450.24,March 08 2019,"Friday, 2019-03-08","Mar-08, 19"
243,2019-03-11,2783.3,25650.88,March 11 2019,"Monday, 2019-03-11","Mar-11, 19"
244,2019-03-12,2791.52,25554.66,March 12 2019,"Tuesday, 2019-03-12","Mar-12, 19"
245,2019-03-13,2810.92,25702.89,March 13 2019,"Wednesday, 2019-03-13","Mar-13, 19"
246,2019-03-14,2808.48,25709.94,March 14 2019,"Thursday, 2019-03-14","Mar-14, 19"
247,2019-03-15,2822.48,25848.87,March 15 2019,"Friday, 2019-03-15","Mar-15, 19"
248,2019-03-18,2832.94,25914.1,March 18 2019,"Monday, 2019-03-18","Mar-18, 19"
249,2019-03-19,2832.57,25887.38,March 19 2019,"Tuesday, 2019-03-19","Mar-19, 19"
250,2019-03-20,2824.23,25745.67,March 20 2019,"Wednesday, 2019-03-20","Mar-20, 19"
251,2019-03-21,2854.88,25962.51,March 21 2019,"Thursday, 2019-03-21","Mar-21, 19"
252,2019-03-22,2800.71,25502.32,March 22 2019,"Friday, 2019-03-22","Mar-22, 19"
253,2019-03-25,2798.36,25516.83,March 25 2019,"Monday, 2019-03-25","Mar-25, 19"
254,2019-03-26,2818.46,25657.73,March 26 2019,"Tuesday, 2019-03-26","Mar-26, 19"
255,2019-03-27,2805.37,25625.59,March 27 2019,"Wednesday, 2019-03-27","Mar-27, 19"
256,2019-03-28,2815.44,25717.46,March 28 2019,"Thursday, 2019-03-28","Mar-28, 19"
257,2019-03-29,2834.4,25928.68,March 29 2019,"Friday, 2019-03-29","Mar-29, 19"
258,2019-04-01,2867.19,26258.42,April 01 2019,"Monday, 2019-04-01","Apr-01, 19"
259,2019-04-02,2867.24,26179.13,April 02 2019,"Tuesday, 2019-04-02","Apr-02, 19"
260,2019-04-03,2873.4,26218.13,April 03 2019,"Wednesday, 2019-04-03","Apr-03, 19"
261,2019-04-04,2879.39,26384.63,April 04 2019,"Thursday, 2019-04-04","Apr-04, 19"
262,2019-04-05,2892.74,26424.99,April 05 2019,"Friday, 2019-04-05","Apr-05, 19"
263,2019-04-08,2895.77,26341.02,April 08 2019,"Monday, 2019-04-08","Apr-08, 19"
264,2019-04-09,2878.2,26150.58,April 09 2019,"Tuesday, 2019-04-09","Apr-09, 19"
265,2019-04-10,2888.21,26157.16,April 10 2019,"Wednesday, 2019-04-10","Apr-10, 19"
266,2019-04-11,2888.32,26143.05,April 11 2019,"Thursday, 2019-04-11","Apr-11, 19"
267,2019-04-12,2907.41,26412.3,April 12 2019,"Friday, 2019-04-12","Apr-12, 19"
268,2019-04-15,2905.58,26384.77,April 15 2019,"Monday, 2019-04-15","Apr-15, 19"
269,2019-04-16,2907.06,26452.66,April 16 2019,"Tuesday, 2019-04-16","Apr-16, 19"
270,2019-04-17,2900.45,26449.54,April 17 2019,"Wednesday, 2019-04-17","Apr-17, 19"
271,2019-04-18,2905.03,26559.54,April 18 2019,"Thursday, 2019-04-18","Apr-18, 19"
272,2019-04-19,,,April 19 2019,"Friday, 2019-04-19","Apr-19, 19"
273,2019-04-22,2907.97,26511.05,April 22 2019,"Monday, 2019-04-22","Apr-22, 19"
274,2019-04-23,2933.68,26656.39,April 23 2019,"Tuesday, 2019-04-23","Apr-23, 19"
275,2019-04-24,2927.25,26597.05,April 24 2019,"Wednesday, 2019-04-24","Apr-24, 19"
276,2019-04-25,2926.17,26462.08,April 25 2019,"Thursday, 2019-04-25","Apr-25, 19"
277,2019-04-26,2939.88,26543.33,April 26 2019,"Friday, 2019-04-26","Apr-26, 19"
278,2019-04-29,2943.03,26554.39,April 29 2019,"Monday, 2019-04-29","Apr-29, 19"
279,2019-04-30,2945.83,26592.91,April 30 2019,"Tuesday, 2019-04-30","Apr-30, 19"
280,2019-05-01,2923.73,26430.14,May 01 2019,"Wednesday, 2019-05-01","May-01, 19"
281,2019-05-02,2917.52,26307.79,May 02 2019,"Thursday, 2019-05-02","May-02, 19"
282,2019-05-03,2945.64,26504.95,May 03 2019,"Friday, 2019-05-03","May-03, 19"
283,2019-05-06,2932.47,26438.48,May 06 2019,"Monday, 2019-05-06","May-06, 19"
284,2019-05-07,2884.05,25965.09,May 07 2019,"Tuesday, 2019-05-07","May-07, 19"
285,2019-05-08,2879.42,25967.33,May 08 2019,"Wednesday, 2019-05-08","May-08, 19"
286,2019-05-09,2870.72,25828.36,May 09 2019,"Thursday, 2019-05-09","May-09, 19"
287,2019-05-10,2881.4,25942.37,May 10 2019,"Friday, 2019-05-10","May-10, 19"
288,2019-05-13,2811.87,25324.99,May 13 2019,"Monday, 2019-05-13","May-13, 19"
289,2019-05-14,2834.41,25532.05,May 14 2019,"Tuesday, 2019-05-14","May-14, 19"
290,2019-05-15,2850.96,25648.02,May 15 2019,"Wednesday, 2019-05-15","May-15, 19"
291,2019-05-16,2876.32,25862.68,May 16 2019,"Thursday, 2019-05-16","May-16, 19"
292,2019-05-17,2859.53,25764.0,May 17 2019,"Friday, 2019-05-17","May-17, 19"
293,2019-05-20,2840.23,25679.9,May 20 2019,"Monday, 2019-05-20","May-20, 19"
294,2019-05-21,2864.36,25877.33,May 21 2019,"Tuesday, 2019-05-21","May-21, 19"
295,2019-05-22,2856.27,25776.61,May 22 2019,"Wednesday, 2019-05-22","May-22, 19"
296,2019-05-23,2822.24,25490.47,May 23 2019,"Thursday, 2019-05-23","May-23, 19"
297,2019-05-24,2826.06,25585.69,May 24 2019,"Friday, 2019-05-24","May-24, 19"
298,2019-05-27,,,May 27 2019,"Monday, 2019-05-27","May-27, 19"
299,2019-05-28,2802.39,25347.77,May 28 2019,"Tuesday, 2019-05-28","May-28, 19"
300,2019-05-29,2783.02,25126.41,May 29 2019,"Wednesday, 2019-05-29","May-29, 19"
301,2019-05-30,2788.86,25169.88,May 30 2019,"Thursday, 2019-05-30","May-30, 19"
302,2019-05-31,2752.06,24815.04,May 31 2019,"Friday, 2019-05-31","May-31, 19"
303,2019-06-03,2744.45,24819.78,June 03 2019,"Monday, 2019-06-03","Jun-03, 19"
304,2019-06-04,2803.27,25332.18,June 04 2019,"Tuesday, 2019-06-04","Jun-04, 19"
305,2019-06-05,2826.15,25539.57,June 05 2019,"Wednesday, 2019-06-05","Jun-05, 19"
306,2019-06-06,2843.49,25720.66,June 06 2019,"Thursday, 2019-06-06","Jun-06, 19"
307,2019-06-07,2873.34,25983.94,June 07 2019,"Friday, 2019-06-07","Jun-07, 19"
308,2019-06-10,2886.73,26062.68,June 10 2019,"Monday, 2019-06-10","Jun-10, 19"
309,2019-06-11,2885.72,26048.51,June 11 2019,"Tuesday, 2019-06-11","Jun-11, 19"
310,2019-06-12,2879.84,26004.83,June 12 2019,"Wednesday, 2019-06-12","Jun-12, 19"
311,2019-06-13,2891.64,26106.77,June 13 2019,"Thursday, 2019-06-13","Jun-13, 19"
312,2019-06-14,2886.98,26089.61,June 14 2019,"Friday, 2019-06-14","Jun-14, 19"
313,2019-06-17,2889.67,26112.53,June 17 2019,"Monday, 2019-06-17","Jun-17, 19"
314,2019-06-18,2917.75,26465.54,June 18 2019,"Tuesday, 2019-06-18","Jun-18, 19"
315,2019-06-19,2926.46,26504.0,June 19 2019,"Wednesday, 2019-06-19","Jun-19, 19"
316,2019-06-20,2954.18,26753.17,June 20 2019,"Thursday, 2019-06-20","Jun-20, 19"
317,2019-06-21,2950.46,26719.13,June 21 2019,"Friday, 2019-06-21","Jun-21, 19"
318,2019-06-24,2945.35,26727.54,June 24 2019,"Monday, 2019-06-24","Jun-24, 19"
